date,slot,total,drive,collab
2025-11-01,8:00,,17,1
2025-11-01,8:30,,12,1
2025-11-01,9:00,,31,1
2025-11-01,9:30,,27,1
2025-11-01,10:00,,34,1
2025-11-01,10:30,,36,1
2025-11-01,11:00,,30,1
2025-11-01,11:30,,21,1
2025-11-01,12:00,,31,1
2025-11-01,12:30,,0,1
2025-11-01,13:00,,0,1
2025-11-01,13:30,,0,1
2025-11-01,14:00,,0,1
2025-11-01,14:30,,0,1
2025-11-01,15:00,,0,1
2025-11-01,15:30,,0,1
2025-11-01,16:00,,0,1
2025-11-01,16:30,,0,1
2025-11-01,17:00,,0,1
2025-11-01,17:30,,0,1
2025-11-01,18:00,,0,1
2025-11-01,18:30,,0,1
2025-11-01,19:00,,0,1
2025-11-01,19:30,,0,1
2025-11-01,20:00,,0,1
2025-11-01,20:30,,0,1
